city_name,state_id,lat,lng,population_city,density_city,incorporated_city,ranking_city
Hagerstown,MD,39.6401,-77.7217,195261,1334.0,1,2
Glendale,CA,34.1819,-118.2468,194512,2464.0,1,2
Nampa,ID,43.5844,-116.5638,193935,1139.2,1,2
Peoria,AZ,33.7843,-112.2989,191292,419.5,1,2
Cedar Rapids,IA,41.9662,-91.6783,191104,724.0,1,2
Vancouver,WA,45.6366,-122.5967,190700,1510.4,1,2
Paradise,NV,36.0872,-115.1355,189733,1727.6,0,2
Ocala,FL,29.178,-82.1511,186840,518.8,1,2
Erie,PA,42.1167,-80.0733,185556,1913.7,1,2
Newport News,VA,37.1051,-76.5185,185118,1035.9,1,2
Frederick,MD,39.4337,-77.4141,184991,1263.9,1,2
Murfreesboro,TN,35.849,-86.4121,184763,926.1,1,2
Fort Lauderdale,FL,26.1412,-80.1464,182673,2039.5,1,2
Aurora,IL,41.7638,-88.2902,181405,1555.1,1,2
Tempe,AZ,33.3881,-111.9319,181005,1748.3,1,2
Danbury,CT,41.4015,-73.4709,180143,794.2,1,2
Spring Hill,FL,28.4798,-82.53,178833,753.2,0,2
Gastonia,NC,35.2494,-81.1854,178220,598.7,1,2
Salinas,CA,36.6883,-121.6317,177410,2672.8,1,2
Fredericksburg,VA,38.2992,-77.4872,176791,1044.0,1,2
Ontario,CA,34.0393,-117.6064,176326,1362.0,1,2
Elk Grove,CA,38.4161,-121.3842,176105,1596.1,1,2
Gainesville,GA,34.2902,-83.8294,175569,493.1,1,2
Cary,NC,35.7819,-78.8195,174880,1126.5,1,2
Rancho Cucamonga,CA,34.1247,-117.5667,174696,1450.5,1,2
Oceanside,CA,33.2247,-117.3083,173722,1625.3,1,2
Garden Grove,CA,33.7787,-117.9601,171637,3691.2,1,2
Lancaster,CA,34.6935,-118.1753,171465,702.2,1,2
Hemet,CA,33.7341,-116.9969,170621,1182.9,1,2
Pembroke Pines,FL,26.0128,-80.3382,170472,2014.0,1,2
Panama City,FL,30.1995,-85.6003,169810,373.9,1,2
Vallejo,CA,38.1125,-122.2342,169541,1588.3,1,2
Manchester,NH,42.9848,-71.4447,169097,1343.1,1,2
Medford,OR,42.3372,-122.854,168959,1191.6,1,2
Bayamón,PR,18.3794,-66.1635,168698,2404.7,0,2
Mauldin,SC,34.7821,-82.3032,168313,808.4,1,2
Santa Cruz,CA,36.9789,-122.0346,167835,1859.8,1,2
Palmdale,CA,34.5944,-118.1057,166895,607.5,1,2
Norwich,CT,41.5495,-72.0882,166885,551.1,1,2
Muskegon,MI,43.2281,-86.2562,166847,1045.2,1,2
Leesburg,FL,28.7672,-81.8962,166200,270.6,1,2
High Point,NC,35.991,-79.9937,164836,774.3,1,2
Tuscaloosa,AL,33.2348,-87.5268,164414,660.0,1,2
Visalia,CA,36.3276,-119.3269,163681,1433.0,1,2
Marysville,WA,48.0809,-122.1561,162664,1318.1,1,2
Merced,CA,37.3057,-120.4779,160638,1455.9,1,2
Hayward,CA,37.6328,-122.0766,160602,1353.4,1,2
Lafayette,IN,40.3991,-86.8593,160543,930.9,1,2
Springfield,IL,39.7709,-89.654,159671,721.0,1,2
Corona,CA,33.8616,-117.5649,158346,1532.6,1,2
Paterson,NJ,40.9147,-74.1624,157864,7244.8,1,2
Alexandria,VA,38.8185,-77.0861,157594,4074.1,1,2
Macon,GA,32.8065,-83.6974,156554,242.4,1,2
Binghamton,NY,42.1014,-75.9093,156375,1754.4,1,2
Lakewood,CO,39.6977,-105.1172,156149,1387.3,1,2
Kansas City,KS,39.1235,-94.7443,155438,481.1,1,2
Odessa,TX,31.8801,-102.3448,155039,850.4,1,2
Sunnyvale,CA,37.3836,-122.0255,154573,2705.4,1,2
New Bedford,MA,41.6697,-70.9428,153701,1942.4,1,2
